story,countrylist,startdate,articles
44079,Netherlands|South Africa,2/14/2008,2
44070,Canada,2/13/2008,2
37778,United States,7/2/2006,2
44072,New Zealand,2/13/2008,2
44073,United States|Unknown,2/5/2008,3
44074,United Kingdom,2/13/2008,2
44075,United States|Unknown,2/11/2008,3
44076,United States|Unknown,2/13/2008,2
44077,Unknown,2/12/2008,2
39199,United States|Unknown,11/17/2006,3
41758,New Zealand,6/26/2007,2
39198,United States,11/17/2006,2
12978,Australia,2/16/2000,2
12979,Unknown,2/16/2000,2
12976,United States,2/15/2000,4
12977,United States|Unknown,2/14/2000,3
12974,United States,2/16/2000,3
12975,United States,2/16/2000,2
12972,United States|Norway,2/10/2000,4
12973,United States,2/16/2000,2
12970,Canada|United States|Unknown,2/14/2000,7
12971,Unknown,2/15/2000,2
7081,United States,1/11/1999,5
7080,Unknown,1/10/1999,2
7083,United States|Unknown|New Zealand|France,1/12/1999,6
7082,United Kingdom,1/10/1999,2
7085,Unknown,1/12/1999,2
7084,United States,1/12/1999,2
7087,United States|Canada,1/7/1999,4
7086,United States,1/12/1999,2
7089,Canada,1/12/1999,3
7088,United States|Unknown,1/10/1999,3
9808,United States,8/3/1999,2
9807,United States|Unknown|Canada,5/31/1999,83
8904,United States,5/26/1999,2
9806,Unknown,8/2/1999,2
8170,United States,3/30/1999,2
8171,United States|Canada,3/26/1999,2
8172,United States|Unknown,3/30/1999,2
55704,United States,9/14/2011,2
8174,Canada,3/29/1999,2
8175,United States,3/30/1999,2
8176,United States|Unknown,3/24/1999,3
8177,Canada|Malaysia|United States|Unknown,3/25/1999,4
8178,New Zealand,3/30/1999,3
8179,United States,3/30/1999,2
9802,Ireland,8/2/1999,2
15478,Canada,9/16/2000,2
15479,Canada|United States,9/7/2000,6
39195,Japan,11/15/2006,3
15472,Unknown,9/15/2000,2
15473,Unknown,9/8/2000,2
15470,Unknown|Australia,9/8/2000,2
15471,United States,9/15/2000,2
15476,United States,9/15/2000,2
15477,United States,9/15/2000,5
15474,United States,9/13/2000,2
15475,United States,9/15/2000,2
55705,United Kingdom,9/14/2011,2
8906,United States,5/27/1999,2
8797,United States,5/17/1999,2
9503,United States,7/11/1999,2
55706,Unknown,9/14/2011,2
40865,Unknown,4/5/2007,3
8901,United States,5/26/1999,2
40405,United States|Unknown,3/5/2007,3
40404,Unknown,3/5/2007,2
40407,Unknown,3/5/2007,2
40406,United States|Unknown,3/4/2007,3
40401,United States,3/4/2007,7
40400,United States,3/5/2007,2
40403,Unknown,3/5/2007,2
40402,United Kingdom|Unknown,3/5/2007,2
40409,United States,3/5/2007,2
40408,United States|Unknown,3/2/2007,2
8900,United States,5/26/1999,2
47750,United States,5/23/2009,2
47751,Unknown,5/21/2009,2
47752,Unknown|Papua New Guinea,5/25/2009,2
47753,United States|Unknown,5/20/2009,2
47754,Singapore,5/24/2009,2
47755,Unknown,5/24/2009,2
28979,United States|United Kingdom,4/1/2004,3
28978,Unknown,4/1/2004,2
28977,Unknown,4/1/2004,2
28976,Unknown,4/1/2004,2
28975,United Kingdom|Unknown,3/31/2004,2
28974,Canada,4/1/2004,4
28973,United States|Unknown,4/1/2004,2
28972,Canada,3/31/2004,2
28971,United States,3/31/2004,2
28970,Australia,3/28/2004,2
8903,United States,5/26/1999,2
8282,United States,4/6/1999,6
13737,United States,4/16/2000,2
13736,United States,4/16/2000,2
13735,United States,4/16/2000,2
13734,United States,4/16/2000,2
13733,United States,4/16/2000,2
13732,United States,4/16/2000,2
13731,Malaysia|Singapore,4/15/2000,2
13730,Canada|Unknown,4/15/2000,2
55701,United States,9/14/2011,2
13739,United Kingdom|Canada,4/10/2000,3
13738,United States,4/16/2000,2
11380,United States,12/5/1999,2
11381,United States,12/5/1999,2
11382,United States,12/5/1999,2
11383,United Kingdom,12/5/1999,2
11384,Unknown,12/6/1999,2
11385,United States|Unknown|Libya|United Kingdom|Canada,11/1/1999,50
11386,United States|Unknown,12/2/1999,2
11387,United Kingdom,12/6/1999,2
11388,United States|Unknown,12/6/1999,2
11389,Unknown,12/6/1999,2
43271,United Kingdom|Australia,11/28/2007,2
43270,Australia,11/26/2007,2
43277,Unknown,11/29/2007,2
43276,United States|United Kingdom|England,11/29/2007,3
43275,United States,11/29/2007,2
43274,Malaysia,11/28/2007,2
19159,United States,8/16/2001,2
19158,United Kingdom,8/16/2001,2
55702,Australia,9/14/2011,2
19155,United States,8/9/2001,4
19154,United States,8/12/2001,2
19157,Ireland,8/16/2001,2
19156,United Kingdom,8/16/2001,2
19151,Unknown,8/16/2001,2
19150,United States|Unknown,8/16/2001,2
19153,Unknown|China,8/16/2001,3
19152,United States,8/15/2001,2
48340,Netherlands,8/12/2009,3
52268,United Kingdom,10/4/2010,2
52269,India,10/3/2010,2
52266,Unknown,10/4/2010,2
52267,United States,9/29/2010,3
52264,United States|Unknown,9/29/2010,4
52265,United States|France,9/30/2010,3
52262,Australia,9/30/2010,8
52263,United States,9/3/2010,34
52260,United States|Unknown,10/3/2010,2
52261,United States,9/30/2010,2
43181,United States|Ireland,11/19/2007,2
43180,Unknown,11/20/2007,3
43183,United States|Unknown|United Kingdom,11/3/2007,12
43182,United States|Australia,11/14/2007,8
43185,United States,11/20/2007,5
43184,United States,11/20/2007,2
43187,United States|Australia,11/1/2007,14
43186,United States|Unknown,11/16/2007,4
43189,United States,11/21/2007,2
40868,Australia,4/12/2007,2
8552,Unknown,4/29/1999,2
57980,Canada|Unknown,4/16/2012,2
26694,United States,8/27/2003,2
8553,Unknown,4/22/1999,2
52949,Canada|Unknown,12/10/2010,2
44985,Unknown,6/1/2008,2
52948,United States|Unknown,11/29/2010,10
44986,United States|Unknown,6/1/2008,2
44987,New Zealand,6/1/2008,2
52946,United States,12/6/2010,2
44980,France,5/31/2008,2
44981,United States,6/1/2008,2
14355,United States,6/8/2000,2
44982,Unknown,6/1/2008,2
52943,United States,12/8/2010,5
44983,Canada|Unknown,5/31/2008,5
52942,Unknown,12/8/2010,2
42588,Unknown,9/18/2007,2
42589,Canada|Unknown,9/21/2007,2
42582,United States,9/20/2007,2
42583,Australia,9/21/2007,2
42580,United States,9/19/2007,2
42581,United States,9/14/2007,3
42586,United States,9/21/2007,3
42587,Canada|Unknown,9/20/2007,2
42584,United States,9/20/2007,3
42585,United Kingdom|Unknown,9/21/2007,2
44989,United States,6/1/2008,2
7867,United States,3/1/1999,3
7866,United States,3/7/1999,3
7865,United States,3/2/1999,2
7864,United States,3/7/1999,2
7863,Australia,3/7/1999,2
588,Unknown,12/23/1991,2
7861,United States,3/6/1999,4
7860,Canada,3/7/1999,2
5486,United States|Canada,7/21/1998,4
589,United States|Unknown,12/24/1991,3
8556,United States,4/29/1999,2
51301,United States,6/11/2010,3
7869,United States,3/7/1999,2
4148,United States,1/8/1998,2
16819,New Zealand,1/15/2001,2
16818,United States,1/15/2001,3
42632,Unknown,9/27/2007,2
42633,United States,9/25/2007,2
42634,United States,9/27/2007,3
42635,United States|Unknown,9/23/2007,2
42636,United States,9/27/2007,2
42637,Unknown,9/28/2007,2
16811,United States|Unknown|France,1/7/2001,6
16810,United States|Canada|Unknown,1/7/2001,5
16813,Unknown|Australia,1/15/2001,3
16812,United States|Malaysia,1/13/2001,3
16815,United States,1/15/2001,2
16814,United States,1/15/2001,2
16817,United States|Unknown,1/10/2001,3
16816,United States,1/13/2001,2
12129,United States|Unknown,1/4/2000,3
12128,United States,1/4/2000,3
12121,United States,12/27/1999,2
12120,Netherlands|France,1/3/2000,2
12123,Canada|United States|France,1/3/2000,4
12122,United States,1/3/2000,2
12125,United States|Unknown,12/28/1999,4
12124,United States,1/4/2000,2
12127,United States,12/30/1999,4
12126,United States|Libya,12/29/1999,5
10417,United States,9/26/1999,2
10416,Canada,9/24/1999,3
10415,United States|Unknown,9/27/1999,2
10414,Unknown,9/27/1999,2
10413,United States|Unknown,9/27/1999,4
10412,United States,9/27/1999,2
10411,Unknown,9/22/1999,2
10410,United States,9/26/1999,2
2838,United States|Unknown,1/22/1997,2
57988,United States|Unknown,4/12/2012,2
49325,United States|Unknown,12/3/2009,4
10419,United States,9/27/1999,2
10418,New Zealand,9/26/1999,2
24209,China,1/11/2003,2
9328,United Kingdom|New Zealand,6/29/1999,3
49324,United States,12/4/2009,2
24208,Canada,1/10/2003,3
8554,United States,4/28/1999,3
49323,Netherlands|South Africa,12/6/2009,2
9320,United States|Unknown,6/28/1999,2
9321,United States,6/28/1999,2
9326,Malaysia,6/29/1999,2
47952,Unknown|India,6/19/2009,2
9324,United Kingdom,6/29/1999,2
49322,Netherlands|Australia|South Africa,12/5/2009,6
21729,United States,5/7/2002,2
21728,Unknown,5/7/2002,2
54950,United States|Netherlands,6/23/2011,2
50353,United States|Unknown,3/9/2010,3
54956,United States|Unknown,6/16/2011,5
49321,Australia,12/7/2009,3
54954,Australia,6/24/2011,4
54955,United States,6/24/2011,3
21721,Unknown,5/6/2002,2
21720,United States,5/2/2002,3
21723,Unknown,5/6/2002,2
21722,Unknown,5/6/2002,2
21725,United Kingdom,5/6/2002,2
21724,Canada,5/6/2002,2
21727,Australia,5/7/2002,2
21726,Australia,5/6/2002,2
48364,United States|Unknown,8/16/2009,2
48365,United Kingdom,8/16/2009,2
48366,United States|Unknown,8/16/2009,2
48367,Netherlands|South Africa,8/14/2009,2
48360,United States|Unknown,8/15/2009,2
48361,United States|United Kingdom|Australia,8/8/2009,3
48362,Australia,8/16/2009,2
48363,United States,8/16/2009,2
47953,United States,6/19/2009,3
48368,United States|South Africa,8/17/2009,10
48369,New Zealand,8/7/2009,5
26971,United States|England,10/4/2003,2
26970,United States,10/4/2003,2
26973,United States,10/4/2003,2
26972,United States,10/4/2003,2
26975,United States|Canada|Unknown,10/3/2003,9
26974,United States,10/4/2003,2
26977,United States,10/4/2003,2
26976,United States,9/24/2003,5
26979,United States,10/4/2003,2
26978,United States,10/4/2003,2
49947,United States|Unknown,2/8/2010,2
49946,Unknown|Philippines|Malaysia,1/27/2010,7
49945,United States|United Kingdom|Australia,1/24/2010,5
49944,United Kingdom|Australia|Zimbabwe,2/7/2010,4
49943,United Kingdom,2/7/2010,2
49942,United Kingdom|Unknown,2/7/2010,2
49941,United States|Unknown,2/7/2010,3
49940,Ireland,2/7/2010,2
1432,Canada|United States|Unknown,1/16/1995,3
49949,Unknown,2/5/2010,4
1433,United States,1/13/1995,3
1991,Canada|Unknown,1/26/1996,2
1990,United States,1/25/1996,2
1993,United States,1/26/1996,2
1992,United States,1/26/1996,2
1995,England,1/27/1996,2
1994,Canada,1/26/1996,2
1997,United States,1/25/1996,2
1996,United States|Canada|Libya|Unknown,1/6/1996,22
1999,Canada,1/28/1996,2
1998,United States,1/27/1996,3
58183,Malaysia|Singapore,5/4/2012,2
58182,United States,5/4/2012,3
58185,United States|Unknown,5/2/2012,3
58184,United States,5/4/2012,2
58187,United States,5/5/2012,2
58186,Unknown,5/4/2012,2
45060,United States|South Africa,6/10/2008,3
45061,United States,6/8/2008,4
45062,Bahrain|Australia,6/5/2008,3
45063,Unknown,6/8/2008,2
45064,Netherlands|South Africa,6/9/2008,2
45065,United States|South Africa,6/10/2008,2
45066,United States,6/11/2008,3
45067,United Kingdom|Unknown,6/11/2008,2
45068,United States|Unknown,6/11/2008,2
45069,United Kingdom|Australia,6/11/2008,4
48098,United States|Unknown,7/11/2009,3
48099,United States,7/12/2009,2
47958,United States,6/20/2009,2
2860,United States|Norway,1/25/1997,3
2861,United States,1/30/1997,2
2862,United States,1/30/1997,2
2863,Canada,1/25/1997,2
2864,United States,1/30/1997,3
2865,Unknown,1/27/1997,2
2866,United States,2/1/1997,2
2867,Unknown,2/1/1997,2
2868,Unknown,2/1/1997,2
2869,Unknown,1/27/1997,3
44339,Unknown,3/11/2008,3
44338,England,3/13/2008,2
58401,Philippines|France,5/22/2012,2
24238,Canada,1/13/2003,2
24239,United States,1/13/2003,2
28566,United States,2/23/2004,2
28567,Unknown|New Zealand,2/24/2004,2
28560,United States|Unknown,2/23/2004,2
28561,United States|Unknown|Australia|England,2/10/2004,11
28562,Unknown,2/18/2004,2
28563,Canada|United States,2/24/2004,3
24230,United States,1/5/2003,2
24231,United States,1/12/2003,2
24232,Unknown,1/12/2003,2
1439,United States,1/20/1995,2
28568,United States|Unknown,2/18/2004,3
28569,Canada|Unknown,2/20/2004,4
24236,Canada|Unknown|United States|United Kingdom,1/12/2003,16
24237,Canada,1/13/2003,7
54745,India,6/3/2011,2
34208,United States,7/24/2005,3
34209,United States|Unknown,7/24/2005,2
47957,United States,6/20/2009,2
34200,Australia,7/23/2005,2
34201,Canada|United Kingdom|Australia,7/24/2005,7
34202,Australia,7/24/2005,6
34203,United Kingdom,7/24/2005,2
34204,United States|Unknown,7/24/2005,2
34205,United States|Unknown,7/23/2005,2
34206,United Kingdom,7/24/2005,2
34207,United Kingdom,7/24/2005,3
35159,United States,11/3/2005,2
35158,Netherlands|South Africa,11/3/2005,2
35153,United States,10/31/2005,2
35152,United States,11/3/2005,3
35151,United Kingdom|Unknown,11/3/2005,2
34236,United States,7/26/2005,2
35157,United States,11/3/2005,2
35156,United Kingdom|Unknown,11/3/2005,2
35155,United States,11/3/2005,2
35154,United States|Unknown,11/3/2005,3
28692,United States,3/5/2004,2
28693,Unknown,3/5/2004,2
28690,Unknown,3/5/2004,2
28691,United States,3/5/2004,2
28696,United States|Unknown,3/6/2004,2
28697,United States,3/6/2004,2
28694,United States|Unknown,3/5/2004,2
28695,Unknown,3/6/2004,2
28698,United States,3/6/2004,2
28699,England,3/6/2004,2
38782,United States,10/11/2006,2
6976,United States,1/5/1999,2
51472,Canada,7/8/2010,2
51473,Canada|Unknown,7/8/2010,2
23619,United Kingdom,11/13/2002,3
23618,United States|Unknown,11/9/2002,3
51476,Unknown,7/2/2010,3
51477,United States|United Kingdom|New Zealand,7/7/2010,4
51474,United States|Unknown,7/8/2010,2
51475,Australia,7/5/2010,2
23613,United States|England,11/12/2002,2
23612,New Zealand,11/12/2002,2
23611,United States,11/12/2002,2
23610,United States,11/9/2002,3
23617,United States|Unknown,11/12/2002,2
23616,Unknown,11/11/2002,2
23615,Australia|Ireland,11/12/2002,3
23614,United States|Australia|England,11/7/2002,4
27769,Ireland,12/16/2003,3
27768,United States|Japan|United Kingdom|Unknown,10/20/2003,66
27763,United States|Canada,12/6/2003,13
27762,United States,12/15/2003,2
27761,Australia,12/14/2003,2
27760,Malaysia,12/14/2003,3
27767,United States,12/16/2003,2
27766,United States,12/15/2003,2
27765,Unknown,12/15/2003,2
27764,Unknown,12/15/2003,2
4972,United States|Unknown,4/20/1998,2
758,United States,6/23/1992,2
47959,Malaysia,6/16/2009,2
47690,Unknown,5/14/2009,3
32310,United States,2/2/2005,2
32311,United States,2/2/2005,2
32312,United States|Unknown,1/27/2005,2
32313,United States|Unknown,2/3/2005,2
32314,United Kingdom,2/3/2005,2
32315,Unknown,1/28/2005,4
32316,United States,1/27/2005,2
32317,China,2/1/2005,2
32318,United States|Saudi Arabia,2/3/2005,3
32319,United States,2/3/2005,2
58235,Unknown,5/9/2012,2
51298,Pakistan|Qatar|Australia|Unknown|United States|China|Ireland|Japan|New Zealand,6/11/2010,16
51299,Canada,6/21/2010,2
58234,Netherlands|Namibia|South Africa,5/9/2012,2
58233,United States,5/8/2012,2
58232,Pakistan|India,5/9/2012,2
52929,United States|Unknown,12/9/2010,2
52928,United States,12/10/2010,2
52925,United States,12/2/2010,2
52924,United States,12/9/2010,2
52927,Unknown,12/10/2010,2
52926,United States,12/5/2010,5
52921,Unknown,12/9/2010,3
52920,United States,12/9/2010,2
52923,Australia|France,12/7/2010,3
52922,United States|Unknown,12/9/2010,4
25611,United States|Unknown,5/16/2003,2
25610,United Kingdom|Unknown,5/17/2003,5
25613,Unknown,5/17/2003,2
26499,United States,8/6/2003,2
25615,Canada,5/17/2003,2
25614,United Kingdom,5/17/2003,2
25617,United States|Unknown,5/18/2003,2
25616,United States,5/16/2003,2
26492,United States|Unknown,8/5/2003,2
26493,United States,8/5/2003,2
26490,United States,8/4/2003,3
26491,New Zealand,8/5/2003,2
26496,United States|Unknown,8/5/2003,3
26497,United States,8/4/2003,4
26494,United States|Unknown|Canada,7/31/2003,3
26495,Australia,8/5/2003,2
38256,United States|Unknown,8/11/2006,5
53954,United States,3/17/2011,2
55996,United Kingdom,10/14/2011,2
5548,United States,7/22/1998,4
5549,United States,7/27/1998,2
58239,United States,5/9/2012,2
58238,United States,5/9/2012,2
38252,Unknown,8/14/2006,2
26140,United States|Unknown,7/3/2003,2
26141,United Kingdom|Unknown,7/4/2003,2
26142,United Kingdom,7/4/2003,2
26143,Unknown,7/4/2003,2
26144,United States|Unknown,6/27/2003,5
26145,United States|Unknown,7/3/2003,2
26146,United States,7/1/2003,4
26147,United States,7/4/2003,2
26148,United States,7/4/2003,4
26149,United States|Norway,6/29/2003,3
38250,United States|United Kingdom,8/14/2006,2
5541,United States,7/26/1998,2
5547,United States|Australia|Norway,7/26/1998,5
53585,Nigeria|Netherlands,2/10/2011,2
5545,Unknown,7/27/1998,2
2051,United States,2/9/1996,2
2050,United States,2/9/1996,2
2053,Unknown,2/12/1996,3
2052,United States|Unknown,2/9/1996,3
2055,United States|England,2/19/1996,3
2054,United States,2/16/1996,3
2057,United States,2/23/1996,2
2056,United States,2/22/1996,2
2059,Unknown,2/23/1996,2
2058,Libya,2/16/1996,2
4824,United States|Unknown,3/12/1998,3
4825,United States,3/18/1998,2
4822,Unknown,3/17/1998,2
4823,Unknown,3/17/1998,3
4820,Unknown,3/16/1998,2
4821,United States|Unknown,2/26/1998,10
8976,Unknown,6/1/1999,2
53958,India,3/17/2011,2
33449,United States|United Kingdom|Unknown|France,5/15/2005,5
33448,United States,5/16/2005,2
33443,United States,5/16/2005,2
33442,Unknown,5/16/2005,2
33441,United States,5/16/2005,2
33440,Australia,5/16/2005,2
33447,United Kingdom,5/16/2005,2
33446,United States,5/16/2005,2
33445,Unknown,5/9/2005,2
33444,United States,5/16/2005,2
36541,United States,3/8/2006,2
36540,New Zealand,3/8/2006,2
36543,United States|Unknown,3/3/2006,2
36542,United States,3/8/2006,2
36545,Korea,3/7/2006,2
36544,United States,3/7/2006,4
36547,United States|Unknown,3/8/2006,2
36546,United Kingdom,3/8/2006,2
36549,United States|Saudi Arabia,3/9/2006,2
36548,Unknown,3/9/2006,3
33807,Canada,6/16/2005,2
34949,Australia,10/14/2005,2
34948,United Kingdom|Unknown,10/14/2005,2
34947,United Kingdom,10/14/2005,2
34946,United States|Unknown,10/14/2005,2
34945,United States|England,10/14/2005,2
34944,United States,10/14/2005,2
34943,United States,10/12/2005,2
34942,United States|United Kingdom|France,10/12/2005,3
34941,United States|Canada|Unknown,10/12/2005,7
34940,Malaysia|France,10/13/2005,2
49454,United States|Unknown|New Zealand|India|Canada,11/30/2009,41
33806,Canada|Unknown,6/16/2005,2
18444,Canada,6/13/2001,2
18445,United States|Unknown,6/12/2001,3
18446,United Kingdom,6/13/2001,2
18447,United States,6/13/2001,3
18440,Canada,6/12/2001,2
18441,United States,6/12/2001,2
18442,Canada|United Kingdom|United States,6/6/2001,10
18443,United Kingdom,6/13/2001,2
44225,United States|Unknown|Canada,2/28/2008,5
18448,United States,6/13/2001,2
18449,Australia,6/11/2001,3
44224,United States,2/29/2008,2
15674,United States,10/8/2000,5
15675,Unknown,10/5/2000,2
15676,United States,10/6/2000,6
15677,Unknown,10/10/2000,2
15670,United States,10/9/2000,2
15671,Canada|United Kingdom|Australia|England|Unknown|India|France|United States|Malaysia|China|Ireland|New Zealand|Norway,7/31/2000,349
15672,United Kingdom|Unknown|Australia|United States,9/28/2000,21
15673,United States,10/9/2000,2
15678,United States|United Kingdom,10/10/2000,2
15679,Canada,10/5/2000,2
44229,United Kingdom,2/29/2008,2
44228,Unknown,2/29/2008,2
47376,United Kingdom,4/5/2009,2
47377,United States|Unknown,3/26/2009,3
5892,Unknown,9/4/1998,2
33991,Canada,6/30/2005,2
33990,United States,7/1/2005,3
33993,United States|Unknown,7/1/2005,2
33992,New Zealand,7/1/2005,2
33995,United States|Unknown,7/1/2005,2
33994,United States,6/30/2005,2
33997,United States,7/2/2005,2
33996,United States|Unknown,7/2/2005,2
33999,United Kingdom,7/2/2005,2
33998,United States,7/2/2005,2
5895,United States|Unknown,9/2/1998,3
5896,United States,9/3/1998,2
5897,United States,9/3/1998,2
39342,United Kingdom|Unknown|Australia|United States|France,11/24/2006,41
39343,United States,12/1/2006,2
39340,United Kingdom,11/30/2006,3
39341,United States|Unknown,11/30/2006,2
39346,Canada|United Kingdom|Unknown,11/24/2006,27
39347,Unknown,11/30/2006,3
39344,Unknown,12/1/2006,2
39345,Canada|United States|United Kingdom|Unknown,11/30/2006,8
39348,United States,11/30/2006,2
39349,United States,12/1/2006,2
31599,United States,12/6/2004,2
31598,United States|Malaysia,11/30/2004,3
31597,United States|United Kingdom,11/29/2004,5
31596,United States|Unknown,12/1/2004,3
31595,Unknown,12/5/2004,5
31594,United States|Unknown,12/6/2004,5
31593,England,11/26/2004,5
31592,Canada|Unknown,12/6/2004,3
31591,United States,12/6/2004,2
31590,United States,12/5/2004,2
47512,United States|Unknown,4/23/2009,2
33524,United States|Unknown,5/23/2005,3
33207,United States|India,4/20/2005,2
47511,United States|New Zealand,4/22/2009,3
47516,India,4/17/2009,3
47378,United States|Unknown|Canada,3/16/2009,20
47514,United States,4/21/2009,2
33525,United States|Australia,5/14/2005,3
47518,Unknown,4/24/2009,2
47379,Unknown,4/6/2009,2
33526,United States,5/23/2005,2
47792,United States,5/31/2009,2
33527,United States,5/24/2005,4
33809,Unknown,6/14/2005,2
33520,Thailand,5/18/2005,2
33521,Unknown,5/23/2005,2
51408,Unknown,7/1/2010,8
33522,United States|Unknown,5/19/2005,6
33523,United States,5/23/2005,2
54861,United States,6/15/2011,2
48056,United States,7/6/2009,2
33808,United States|Unknown,6/16/2005,2
48057,Unknown,7/6/2009,2
48054,United Kingdom,7/5/2009,2
37763,United States,6/29/2006,3
55380,Unknown,7/30/2011,2
48055,Australia,6/29/2009,2
55381,United States,7/30/2011,2
48052,United Kingdom|Unknown,7/2/2009,3
54866,United States,6/7/2011,6
54812,United Kingdom|Unknown,6/9/2011,2
48053,United States|Unknown,6/29/2009,6
55383,United Kingdom|Unknown,8/5/2011,5
48050,United States,7/4/2009,2
55384,United Kingdom|India,8/2/2011,3
48051,United States|Netherlands|South Africa|Unknown|United Kingdom|Australia,6/13/2009,20
55385,United States|Unknown|England,8/4/2011,4
55386,China,8/5/2011,2
49501,United Kingdom,12/31/2009,2
54867,Canada|Unknown,6/15/2011,2
45165,Unknown,6/22/2008,2
45164,United States|Unknown,6/16/2008,6
54864,United States|Ireland,6/11/2011,4
45167,Unknown,6/24/2008,2
45166,Unknown,6/18/2008,2
51227,Canada|United Kingdom|Australia|Unknown|France|United States,6/9/2010,15
45161,United States,6/22/2008,3
45160,Unknown,6/23/2008,2
45163,United States|Unknown,6/22/2008,2
45162,United States,6/9/2008,5
6977,United States,1/4/1999,2
53859,Unknown,3/8/2011,2
54811,United Kingdom|Unknown,6/9/2011,2
42032,United States,7/24/2007,2
42033,Unknown,7/24/2007,2
42030,Canada,7/24/2007,2
42031,United States,7/24/2007,2
42036,United Kingdom,7/24/2007,2
42037,United States,7/17/2007,7
42034,India|France,7/23/2007,2
42035,Canada,7/24/2007,2
42038,United States|Canada|Unknown,7/24/2007,6
42039,United States|Unknown,7/25/2007,2
6688,United Kingdom,12/15/1998,2
6689,China|France,12/14/1998,3
6680,United Kingdom|Australia,12/10/1998,4
6681,Canada,12/15/1998,2
6682,United States|Korea|France,12/14/1998,3
6683,United States|Unknown,11/30/1998,14
6684,Canada,12/9/1998,6
6685,United States|Unknown|England|United Kingdom,12/14/1998,8
6686,Canada,12/15/1998,2
49873,United States|Unknown,1/31/2010,3
54940,India,6/23/2011,2
49872,Australia,1/31/2010,3
6356,United States,11/17/1998,2
6357,United States,11/18/1998,2
6354,Canada,11/17/1998,3
6355,New Zealand,11/17/1998,2
6352,United States,11/10/1998,3
6353,United States,11/17/1998,2
6350,United States|Unknown,11/16/1998,2
6351,United States,11/13/1998,2
6358,United Kingdom|United States|Australia|Unknown,11/11/1998,13
6359,Australia,11/18/1998,2
49871,Ireland,1/31/2010,2
10169,United States,8/28/1999,2
10168,United States|Korea,8/22/1999,4
10167,United Kingdom|Unknown,8/27/1999,6
10166,United States|Canada|United Kingdom|Unknown,8/12/1999,15
10165,United States,8/27/1999,2
10164,United States,8/27/1999,2
10163,Canada,8/27/1999,2
10162,United States,8/27/1999,2
10161,Netherlands,8/27/1999,2
10160,United States,8/26/1999,4
541,United States|Unknown,10/22/1991,4
49870,Pakistan|Unknown|Thailand,1/26/2010,4
14888,United States,7/21/2000,2
14889,Canada,7/21/2000,4
14880,United States|Canada,7/10/2000,6
14881,Australia,7/22/2000,2
14882,United States,7/22/2000,3
14883,Unknown,7/22/2000,2
14884,Unknown,7/20/2000,2
14885,United Kingdom,7/22/2000,2
14886,Unknown,7/22/2000,2
14887,United States,7/22/2000,2
45262,United States|United Kingdom,7/8/2008,2
45263,Australia,7/8/2008,2
45260,United States,7/8/2008,2
45261,Australia,7/8/2008,3
45266,United States,7/9/2008,3
45267,Australia,7/9/2008,2
45264,Canada,7/7/2008,2
45265,United States|United Kingdom,7/3/2008,2
45268,United States|Unknown,7/3/2008,5
45269,Canada|United States,7/2/2008,2
4009,Australia,12/31/1997,3
44139,United States,2/20/2008,2
44138,India,2/20/2008,2
44135,New Zealand,2/20/2008,2
44134,United States|South Africa,2/20/2008,2
44137,United States,2/20/2008,2
44136,Australia,2/20/2008,2
44131,China,2/20/2008,2
44130,Netherlands|South Africa,2/18/2008,2
44133,Netherlands|South Africa,2/20/2008,2
44132,United States,2/7/2008,10
54944,United States|South Africa,6/23/2011,2
49876,Ireland,1/31/2010,2
1609,United States,4/9/1995,2
1608,United States,4/6/1995,3
1601,United States,3/30/1995,2
1600,United States|Unknown,4/3/1995,2
1603,United States|Unknown|United Kingdom,3/20/1995,11
1602,Unknown,4/5/1995,2
1605,United States|Canada,4/2/1995,2
1604,United States,4/5/1995,6
1607,United States,4/2/1995,2
1606,United States|Canada,4/6/1995,2
49875,Australia,1/31/2010,2
6079,United States,10/9/1998,2
6078,United States,10/4/1998,3
20959,Canada,2/22/2002,2
40308,United States,2/26/2007,2
40309,New Zealand,2/26/2007,2
20958,Unknown,2/22/2002,2
40302,Canada|England,2/22/2007,2
40303,Malaysia,2/25/2007,2
40300,United States|England,2/25/2007,2
40301,United States,2/25/2007,2
40306,United States,2/26/2007,2
40307,United Kingdom,2/26/2007,3
40304,United States,2/25/2007,2
40305,Unknown|Ireland,2/26/2007,2
5476,United Kingdom,7/21/1998,2
44400,Unknown,3/16/2008,2
5474,United States|Unknown,7/20/1998,2
5475,United States,7/21/1998,2
14268,United States|Unknown,5/25/2000,8
14269,United States,6/1/2000,2
5470,United States|Unknown,7/20/1998,3
5471,United States,7/20/1998,2
14264,United States,6/1/2000,2
14265,United States,6/1/2000,3
14266,United States|United Kingdom|England|Unknown,5/12/2000,12
14267,United States,5/26/2000,3
14260,United States,5/31/2000,2
14261,United Kingdom,6/1/2000,2
14262,United Kingdom|Unknown|France|United States|Malaysia|China,5/16/2000,22
14263,United States,6/1/2000,2
45886,Malaysia|China,9/20/2008,3
45887,United States|Unknown,9/27/2008,2
45884,United States,9/22/2008,2
45885,United States,9/27/2008,2
45882,United States|South Africa,9/26/2008,2
45883,Malaysia|Singapore,9/26/2008,2
45880,Canada,9/26/2008,2
45881,United States|Unknown,9/19/2008,2
54949,United States|Unknown|Czech Republic,6/22/2011,2
45888,Australia,9/27/2008,2
45889,Unknown|Malaysia,9/25/2008,5
